count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
3.040000,0.020000,-9.615778,-1.615644,-1.078228,-0.839756,0.901662,-6.858068,-0.839749,0.901682,-6.858157,-0.980168,-0.164590,-0.110366,Transition
3.060000,0.020000,-9.539566,-1.673048,-0.663350,-0.837828,0.899355,-6.851757,-0.839756,0.901662,-6.858068,-0.982258,-0.158786,-0.099786,Walking
3.080000,0.020000,-9.031786,-1.575462,-0.612351,-0.824872,0.895928,-6.848907,-0.837828,0.899355,-6.851757,-0.986708,-0.143131,-0.076947,Walking
3.100000,0.020000,-9.037997,-1.407802,-0.355624,-0.811111,0.891337,-6.845973,-0.824872,0.895928,-6.848907,-0.991439,-0.120108,-0.051208,Walking
3.120000,0.020000,-9.040021,-1.186892,-0.057429,-0.796588,0.885554,-6.842587,-0.811111,0.891337,-6.845973,-0.995536,-0.091514,-0.023107,Walking
3.140000,0.020000,-9.013119,-0.904021,0.270702,-0.780990,0.878937,-6.838582,-0.796588,0.885554,-6.842587,-0.998266,-0.058425,0.007177,Walking
3.160000,0.020000,-9.006581,-0.583144,0.757225,-0.765131,0.871384,-6.831518,-0.780990,0.878937,-6.838582,-0.998932,-0.020951,0.041188,Walking
3.180000,0.020000,-8.959889,-0.177271,1.247073,-0.748795,0.863798,-6.822207,-0.765131,0.871384,-6.831518,-0.996609,0.020598,0.079665,Walking
3.200000,0.020000,-8.903811,0.262543,1.877663,-0.732550,0.856326,-6.808568,-0.748795,0.863798,-6.822207,-0.990423,0.064847,0.121890,Walking
3.220000,0.020000,-8.783237,0.718379,2.618333,-0.716050,0.848884,-6.789244,-0.732550,0.856326,-6.808568,-0.979429,0.111157,0.168413,Walking
3.240000,0.020000,-8.618424,1.203617,3.264326,-0.699585,0.841480,-6.766918,-0.716050,0.848884,-6.789244,-0.962454,0.160432,0.218963,Walking
3.260000,0.020000,-8.518823,1.587293,4.307117,-0.685566,0.832860,-6.734284,-0.699585,0.841480,-6.766918,-0.939838,0.205735,0.272722,Walking
3.280000,0.020000,-8.471953,1.910664,4.910304,-0.675888,0.822942,-6.700071,-0.685566,0.832860,-6.734284,-0.912927,0.245319,0.326164,Walking
3.300000,0.020000,-8.820230,2.167866,5.905577,-0.677555,0.813273,-6.653719,-0.675888,0.822942,-6.700071,-0.890610,0.270266,0.365745,Walking
3.320000,0.020000,-9.307980,2.292612,6.299192,-0.689698,0.806450,-6.601477,-0.677555,0.813273,-6.653719,-0.886936,0.268477,0.375851,Walking
3.340000,0.020000,-9.522484,2.212714,6.277218,-0.704289,0.800834,-6.547215,-0.689698,0.806450,-6.601477,-0.896322,0.254182,0.363316,Walking
3.360000,0.020000,-9.642190,2.084003,6.175024,-0.717657,0.796708,-6.488403,-0.704289,0.800834,-6.547215,-0.914762,0.233467,0.329703,Walking
3.380000,0.020000,-9.814948,1.872548,5.764035,-0.729885,0.794078,-6.427948,-0.717657,0.796708,-6.488403,-0.938179,0.204287,0.279441,Walking
3.400000,0.020000,-9.931065,1.672104,5.430135,-0.740427,0.794319,-6.364271,-0.729885,0.794078,-6.427948,-0.958611,0.169220,0.228975,Walking
3.420000,0.020000,-9.945895,1.438100,5.127567,-0.748054,0.797247,-6.296861,-0.740427,0.794319,-6.364271,-0.974978,0.131670,0.179110,Walking
3.440000,0.020000,-9.922247,1.188777,4.744224,-0.752882,0.802094,-6.227444,-0.748054,0.797247,-6.296861,-0.986835,0.096477,0.129806,Walking
3.460000,0.020000,-9.698519,1.048106,4.435828,-0.751602,0.811028,-6.153794,-0.752882,0.802094,-6.227444,-0.995160,0.061307,0.076797,Walking
3.480000,0.020000,-9.560106,0.763093,3.790349,-0.746698,0.821509,-6.081734,-0.751602,0.811028,-6.153794,-0.999521,0.024364,0.019094,Walking
3.500000,0.020000,-9.348749,0.533898,3.187432,-0.737661,0.835216,-6.009957,-0.746698,0.821509,-6.081734,-0.999043,-0.015435,-0.040917,Walking
3.520000,0.020000,-9.123749,0.233006,2.551256,-0.725294,0.850981,-5.938740,-0.737661,0.835216,-6.009957,-0.993078,-0.056601,-0.102915,Walking
3.540000,0.020000,-8.858665,-0.077575,1.881166,-0.709899,0.868524,-5.868752,-0.725294,0.850981,-5.938740,-0.981487,-0.097322,-0.164959,Walking
